player,n_events,sg_total,sg_ott,sg_app,sg_arg,sg_putt,made_cut_rate,wins,top10s,cluster_abs,cluster_res,stability_abs,stability_res
Camilo Villegas,102,-0.6098039215686275,-0.48343137254901963,-0.14852941176470588,0.1923529411764706,-0.17676470588235296,0.5196078431372549,0,4,2,3,0.905,0.97
Carl Pettersson,69,-1.942173913043478,-0.9688405797101448,-0.7408695652173912,-0.2055072463768116,-0.02536231884057972,0.3188405797101449,0,2,3,3,0.64,0.79
Carlos Ortiz,124,-0.3633064516129032,0.03653225806451613,-0.20798387096774193,-0.09508064516129033,-0.10201612903225807,0.5564516129032258,1,7,2,0,0.42,0.79
Chad Campbell,98,-0.4764285714285715,-0.08530612244897959,0.0679591836734694,0.08204081632653062,-0.5414285714285715,0.5102040816326531,0,6,0,2,0.82,0.97
Chad Collins,69,-0.8323188405797102,-0.668695652173913,-0.31144927536231887,0.3279710144927536,-0.17884057971014491,0.36231884057971014,0,3,2,3,0.88,0.915
Chan Kim,12,-0.6475000000000001,0.27666666666666667,0.21583333333333332,-0.018333333333333313,-0.9783333333333334,0.4166666666666667,0,0,0,2,0.725,0.98
Charl Schwartzel,100,-0.19150000000000003,-0.1681,0.019,0.1207,-0.1558,0.6,1,15,2,3,0.755,0.64
Charles Howell III,139,0.3367625899280575,0.19107913669064747,-0.0633093525179856,0.2149640287769784,-0.01021582733812949,0.762589928057554,1,19,0,1,0.58,0.5
Charley Hoffman,141,0.11602836879432624,0.2156028368794326,0.14553191489361703,-0.15730496453900708,-0.08865248226950355,0.6950354609929078,1,14,0,0,0.935,0.58
Charlie Beljan,40,-2.3255,0.446,-0.7702500000000001,-0.48274999999999996,-1.519,0.25,0,1,1,2,0.665,0.885
Chase Seiffert,44,-0.25636363636363635,-0.08454545454545453,0.12795454545454546,-0.19386363636363638,-0.08159090909090912,0.5,0,3,0,0,0.55,0.575
Chase Wright,22,-0.3568181818181818,0.14954545454545454,-0.3145454545454545,-0.40727272727272723,0.21363636363636365,0.45454545454545453,0,2,1,0,0.79,0.83
Chesson Hadley,146,-0.4595890410958904,-0.1473972602739726,0.010753424657534252,-0.2827397260273973,-0.011232876712328768,0.5547945205479452,0,11,1,0,0.64,0.82
