player,umap_x,umap_y
Kristoffer Ventura,8.155037,8.005497
Kurt Kitayama,5.6730814,9.372775
Kyle Jones,9.03455,8.126888
Kyle Reifers,5.814678,7.0017467
Kyle Stanley,3.6983516,9.432856
Kyoung-Hoon Lee,5.522012,6.9965997
Lanto Griffin,5.379722,7.364351
Lee Hodges,5.090844,6.980064
Lee Westwood,5.973468,8.542508
Louis Oosthuizen,3.1340737,5.2213807
Lucas Bjerregaard,9.342394,8.879253
Lucas Glover,3.2113976,9.277733
Lucas Herbert,8.192873,5.3930616
Luke Donald,7.4804215,3.1744914
Luke List,3.1150837,9.425903
Mackenzie Hughes,6.0877786,4.2246714
Marc Leishman,4.013584,4.9326167
Mark Anderson,6.148749,5.7344103
Mark Hubbard,6.3990498,5.0293503
Mark Wilson,6.9774237,3.9893086
Martin Flores,5.8702526,7.923603
Martin Kaymer,5.3643494,6.8850183
Martin Laird,4.3339915,6.522106
Martin Piller,9.312718,6.155308
Martin Trainer,9.634977,6.291228
Matt Every,10.191751,5.983058
Matt Jones,4.9379263,5.3192544
Matt Kuchar,3.6999235,4.12054
Matt Wallace,5.951272,5.052665
Matthew Fitzpatrick,3.5394366,4.809847
Matthew NeSmith,4.6053753,8.288656
Matthew Wolff,7.2821774,7.8816786
Matthias Schwab,5.5014215,4.840231
Maverick McNealy,6.978102,6.373714
Max Homa,6.7544065,8.084428
Michael Gellerman,7.1039834,9.781062
Michael Gligic,8.348874,8.712587
Michael Kim,8.631988,3.859713
Michael Thompson,6.070939,4.296872
Mike Weir,9.414133,4.2908497
Mito Pereira,2.7994301,6.745637
Morgan Hoffmann,7.7554045,5.169821
Nate Lashley,5.948203,4.856705
Nelson Ledesma,9.8843775,5.3200107
Nicholas Lindheim,9.463784,5.5558443
Nick Hardy,7.284562,9.2824745
Nick Taylor,6.0010967,7.053566
Nick Watney,5.240085,7.9528084
Ollie Schniederjans,5.765025,3.9885824
Omar Uresti,10.051409,7.4724903
Padraig Harrington,7.0065346,4.129539
Parker McLachlin,9.916705,6.159493
Pat Perez,4.2149754,4.216682
Patrick Cantlay,2.382455,5.879204
Patrick Reed,3.5252185,4.3909283
Patrick Rodgers,7.546872,6.001777
Patton Kizzire,7.561534,4.8267627
Paul Barjon,7.998873,9.675568
Paul Casey,2.626077,7.3996043
Peter Malnati,7.5989165,4.4514275
Peter Uihlein,6.267142,4.51277
Phil Mickelson,4.4085193,4.2253733
Rafa Cabrera Bello,7.118546,6.383088
Rafael Campos,8.674883,7.2557645
Retief Goosen,6.581248,5.3745213
Rhein Gibson,9.331291,5.1545343
Rich Beem,9.83824,7.0659914
Richard Sterne,6.7111096,9.886861
Richy Werenski,7.5926256,6.740477
Rickie Fowler,3.0934708,4.949089
Ricky Barnes,7.758529,3.3769445
Rob Oppenheim,7.1728997,3.6255116
Robby Shelton,6.5936713,6.076467
Robert Allenby,7.779088,10.229411
Robert Garrigus,5.190151,9.910856
Robert MacIntyre,5.1704555,5.12307
Robert Streb,6.1296463,5.417557
Roberto Castro,4.313965,9.9335985
Roberto Diaz,8.602006,6.760861
Rod Pampling,6.714019,5.881773
Rod Perry,10.26291,8.110023
Roger Sloan,6.385829,7.231324
Rory McIlroy,2.2702208,6.2300844
Rory Sabbatini,5.2098827,6.6655474
Russell Henley,3.494747,6.768027
Russell Knox,3.6299357,9.332574
Ryan Armour,4.4812193,6.589541
Ryan Blaum,7.2113976,6.62374
Ryan Brehm,8.560538,9.86579
Ryan Moore,3.82144,7.3932085
Ryan Palmer,3.409839,8.8350315
Ryan Vermeer,10.144131,7.799719
Ryo Ishikawa,8.615206,4.3912306
Sahith Theegala,5.392192,5.902027
Sam Burns,7.053107,7.297357
Sam Horsfield,8.325543,7.246801
Sam Ryder,6.0966854,8.088184
Sam Saunders,6.974446,8.345835
Sang-Moon Bae,9.257017,7.8879385
Satoshi Kodaira,8.822027,9.701938
Scott Brown,7.1815763,8.120902
Scott Gutschewski,4.1999407,10.474885
Scott Harrington,8.890892,7.40669
Scott Langley,7.252266,5.126733
Scott Piercy,4.210837,8.936309
Scott Stallings,4.827803,8.596716
Scottie Scheffler,2.550614,5.821322
Seamus Power,5.780012,4.3982825
Sean O'Hair,5.720336,7.12852
Sebastian Cappelen,9.048592,6.6017094
Sebastian Munoz,4.2425785,7.196709
Sepp Straka,6.367014,7.887959
Sergio Garcia,2.977836,9.145665
Seth Reeves,8.958377,9.448513
Seung-Yul Noh,7.454758,3.2770398
Shane Lowry,3.1454864,6.5480976
Shaun Micheel,10.105545,7.008271
Shaun Norris,8.117726,8.455771
Shawn Stefani,5.688213,6.1827693
Shugo Imahira,6.951805,5.3757043
Si Woo Kim,5.0002623,5.549474
Smylie Kaufman,10.281498,5.772718
Stephan Jaeger,6.8568053,3.7674673
Steve Marino,8.752736,8.121511
Steve Stricker,4.5172486,3.7905478
Steven Bowditch,10.040275,5.147146
Stewart Cink,5.0016932,7.5051656
Stuart Appleby,7.09042,4.656049
Sung Kang,7.7358894,7.6897326
Sungjae Im,2.8208725,5.749513
Takumi Kanaya,9.631284,7.21324
Talor Gooch,4.303134,4.998473
Taylor Moore,9.026821,8.195908
Taylor Pendrith,4.542265,6.847727
Ted Potter Jr.,6.5566416,9.607851
Ted Purdy,10.317019,7.277759
Thomas Pieters,5.1503835,9.341168
Thorbjorn Olesen,8.110173,5.7348976
Tiger Woods,4.558401,7.0759916
Tim Herron,9.647016,8.099845
Tim Wilkinson,6.559292,3.8334775
Tom Hoge,4.8306646,8.079707
Tom Lewis,7.0843434,8.987949
Tom Lovelady,8.761713,8.5265045
Tommy Fleetwood,2.8220067,5.3946214
Tommy Gainey,9.209335,9.385563
Tony Finau,2.6341577,6.433089
Trevor Immelman,10.162047,7.5867457
Trey Mullinax,7.818032,9.487714
Troy Merritt,7.152535,6.384688
Tyler Duncan,5.161971,9.85106
Tyler McCumber,6.3852205,10.397617
Tyrone Van Aswegen,6.085159,4.4395585
Tyrrell Hatton,3.097545,5.4469132
Vaughn Taylor,5.0838795,6.3257623
Victor Perez,8.218581,8.596403
Vijay Singh,4.4481936,10.459819
Viktor Hovland,3.1354465,7.895627
Vincent Whaley,9.044014,7.100804
Webb Simpson,3.1131105,4.8286586
Wes Roach,6.3498116,6.9426436
Wesley Bryan,7.585112,3.2248287
Whee Kim,8.803519,4.1689644
Will Claxton,9.428973,9.142065
Will Gordon,7.907419,9.573862
Will MacKenzie,6.4422855,10.332849
Will Zalatoris,2.6451187,8.337798
William McGirt,5.7547293,5.149208
Wyndham Clark,7.843738,5.2087994
Xander Schauffele,3.0065038,5.932088
Xinjun Zhang,6.004905,7.7188363
Y.E. Yang,9.707042,5.057297
Yuta Ikeda,6.1484184,10.481611
Zac Blair,6.541754,4.505236
Zach Johnson,4.0279284,4.4323926
Zack Sucher,6.1044493,7.6315713
Zecheng Dou,7.0592327,10.50978
